ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
78.1,ギャロップ(ガラルのすがた),ガラルギャロップ,,,エスパー,フェアリー,にげあし,パステルベール,きけんよち,65,100,70,80,80,105,500,65 100 70 80 80 105 合計500,SWSH,ガラル,8,ひのうまポケモン,最終進化,,リージョンフォーム,,,,
79,ヤドン,,,,みず,エスパー,どんかん,マイペース,さいせいりょく,90,65,65,40,40,15,315,90 65 65 40 40 15 合計315,RGBP,カントー,1,まぬけポケモン,進化前,,,,Slowpoke,呆呆獸,slow(遅い) + slowpoke(のろま)
79.1,ヤドン(ガラルのすがた),ガラルヤドン,,,エスパー,,くいしんぼう,マイペース,さいせいりょく,90,65,65,40,40,15,315,90 65 65 40 40 15 合計315,鎧の孤島,ガラル,8,まぬけポケモン,進化前,,リージョンフォーム,,,,
80,ヤドラン,,,,みず,エスパー,どんかん,マイペース,さいせいりょく,95,75,110,100,80,30,490,95 75 110 100 80 30 合計490,RGBP,カントー,1,やどかりポケモン,最終進化,,,,Slowbro,呆殼獸,slow(遅い) + bro(兄弟)
80.1,メガヤドラン,,,,みず,エスパー,シェルアーマー,,,95,75,180,130,80,30,590,95 75 180 130 80 30 合計590,ORAS,ホウエン,6,やどかりポケモン,最終進化,,メガシンカ,,,,
80.2,ヤドラン(ガラルのすがた),ガラルヤドラン,,,どく,エスパー,クイックドロウ,マイペース,さいせいりょく,95,100,95,100,70,30,490,95 100 95 100 70 30 合計490,鎧の孤島,ガラル,8,やどかりポケモン,最終進化,,リージョンフォーム,,,,
81,コイル,,,,でんき,はがね,じりょく,がんじょう,アナライズ,25,35,70,95,55,45,325,25 35 70 95 55 45 合計325,RGBP,カントー,1,じしゃくポケモン,進化前,,,,Magnemite,小磁怪,magnet(磁石) + mite(小さなこども、ダニ、少量)
82,レアコイル,,,,でんき,はがね,じりょく,がんじょう,アナライズ,50,60,95,120,70,70,465,50 60 95 120 70 70 合計465,RGBP,カントー,1,じしゃくポケモン,中間進化,,,,Magneton,三合一磁怪,magneton(磁子) + ton(トン、多量の)
83,カモネギ,,,,ノーマル,ひこう,するどいめ,せいしんりょく,まけんき,52,90,55,58,62,60,377,52 90 55 58 62 60 合計377,RGBP,カントー,1,かるがもポケモン,進化前,,,,Farfetch'd,大蔥鴨,far-fetched(こじつけの、無理な、もって回った)
83.1,カモネギ(ガラルのすがた),ガラルカモネギ,,,かくとう,,ふくつのこころ,,きもったま,52,95,55,58,62,55,377,52 95 55 58 62 55 合計377,冠の雪原,ガラル,8,かるがもポケモン,進化前,,リージョンフォーム,,,,
84,ドードー,,,,ノーマル,ひこう,にげあし,はやおき,ちどりあし,35,85,45,35,35,75,310,35 85 45 35 35 75 合計310,RGBP,カントー,1,ふたごどりポケモン,進化前,,,,Doduo,嘟嘟,dodo(ドードー) + duo(二人組、二重奏)
85,ドードリオ,,,,ノーマル,ひこう,にげあし,はやおき,ちどりあし,60,110,70,60,60,110,470,60 110 70 60 60 110 合計470,RGBP,カントー,1,みつごどりポケモン,最終進化,,,,Dodrio,嘟嘟利,dodo(ドードー) + trio(三人組、三重奏)
86,パウワウ,,,,みず,,あついしぼう,うるおいボディ,アイスボディ,65,45,55,45,70,45,325,65 45 55 45 70 45 合計325,RGBP,カントー,1,あしかポケモン,進化前,,,,Seel,小海獅,seal(アザラシ、アシカ)
87,ジュゴン,,,,みず,こおり,あついしぼう,うるおいボディ,アイスボディ,90,70,80,70,95,70,475,90 70 80 70 95 70 合計475,RGBP,カントー,1,あしかポケモン,最終進化,,,,Dewgong,白海獅,dugong(ジュゴン) + dew(露、しずく)
88,ベトベター,,,,どく,,あくしゅう,ねんちゃく,どくしゅ,80,80,50,40,50,25,325,80 80 50 40 50 25 合計325,RGBP,カントー,1,ヘドロポケモン,進化前,,,,Grimer,臭泥,grime((皮膚などの)よごれ、ほこり、あか) + er(接尾辞：～する人)
88.1,ベトベター(アローラのすがた),アローラベトベター,,,どく,あく,どくしゅ,くいしんぼう,かがくのちから,80,80,50,40,50,25,325,80 80 50 40 50 25 合計325,SM,アローラ,7,ヘドロポケモン,進化前,,リージョンフォーム,,,,
89,ベトベトン,,,,どく,,あくしゅう,ねんちゃく,どくしゅ,105,105,75,65,100,50,500,105 105 75 65 100 50 合計500,RGBP,カントー,1,ヘドロポケモン,最終進化,,,,Muk,臭臭泥,muck(牛馬ふん、ごみ、くだらないもの)
89.1,ベトベトン(アローラのすがた),アローラベトベトン,,,どく,あく,どくしゅ,くいしんぼう,かがくのちから,105,105,75,65,100,50,500,105 105 75 65 100 50 合計500,SM,アローラ,7,ヘドロポケモン,最終進化,,リージョンフォーム,,,,
90,シェルダー,,,,みず,,シェルアーマー,スキルリンク,ぼうじん,30,65,100,45,25,40,305,30 65 100 45 25 40 合計305,RGBP,カントー,1,2まいがいポケモン,進化前,,,,Shellder,大舌貝,shell(貝殻、殻をむく) + shelter(避難所、防空壕)
91,パルシェン,,,,みず,こおり,シェルアーマー,スキルリンク,ぼうじん,50,95,180,85,45,70,525,50 95 180 85 45 70 合計525,RGBP,カントー,1,2まいがいポケモン,最終進化,,,,Cloyster,刺甲貝,cloister(隠遁生活、回廊) + oyster(蠣、無口な口)
92,ゴース,,,,ゴースト,どく,ふゆう,,,30,35,30,100,35,80,310,30 35 30 100 35 80 合計310,RGBP,カントー,1,ガスじょうポケモン,進化前,,,,Gastly,鬼斯,gas(ガス、気体) + ghastly(恐ろしい、ぞっとする)
93,ゴースト,,,,ゴースト,どく,ふゆう,,,45,50,45,115,55,95,405,45 50 45 115 55 95 合計405,RGBP,カントー,1,ガスじょうポケモン,中間進化,,,,Haunter,鬼斯通,haunt(≪霊などが≫出没する) + hunter(狩人、ハンター)
94,ゲンガー,,,,ゴースト,どく,のろわれボディ,,,60,65,60,130,75,110,500,60 65 60 130 75 110 合計500,RGBP,カントー,1,シャドーポケモン,最終進化,通信進化,,,Gengar,耿鬼,doppelgänger(ドッペルゲンガー)
94.1,メガゲンガー,メガゲン,,,ゴースト,どく,かげふみ,,,60,65,80,170,95,130,600,60 65 80 170 95 130 合計600,XY,カロス,6,シャドーポケモン,最終進化,通信進化,メガシンカ,,,,
95,イワーク,,,,いわ,じめん,いしあたま,がんじょう,くだけるよろい,35,45,160,30,45,70,385,35 45 160 30 45 70 合計385,RGBP,カントー,1,いわへびポケモン,進化前,,,,Onix,大岩蛇,onyx(しまめのう、オニックス)
96,スリープ,,,,エスパー,,ふみん,よちむ,せいしんりょく,60,48,45,43,90,42,328,60 48 45 43 90 42 合計328,RGBP,カントー,1,さいみんポケモン,進化前,,,,Drowzee,催眠貘,drowsy(眠い、眠そうな) + zee(睡眠マーク => zzz)
97,スリーパー,,,,エスパー,,ふみん,よちむ,せいしんりょく,85,73,70,73,115,67,483,85 73 70 73 115 67 合計483,RGBP,カントー,1,さいみんポケモン,最終進化,,,,Hypno,引夢貘人,hypnosis(催眠、催眠状態)
98,クラブ,,,,みず,,かいりきバサミ,シェルアーマー,ちからずく,30,105,90,25,25,50,325,30 105 90 25 25 50 合計325,RGBP,カントー,1,さわがにポケモン,進化前,,,,Krabby,大鉗蟹,crabby(ご機嫌斜め) + crab(蟹)
99,キングラー,,,,みず,,かいりきバサミ,シェルアーマー,ちからずく,55,130,115,50,50,75,475,55 130 115 50 50 75 合計475,RGBP,カントー,1,はさみポケモン,最終進化,,,,Kingler,巨鉗蟹,king(王様) + fiddler(シオマネキ、バイオリン奏者、詐欺師)
100,ビリリダマ,,,,でんき,,ぼうおん,せいでんき,ゆうばく,40,30,50,55,55,100,330,40 30 50 55 55 100 合計330,RGBP,カントー,1,ボールポケモン,進化前,,,,Voltorb,霹靂電球,volt(ボルト、電圧のV) + orb(球、宝珠、眼球)
100.1,ビリリダマ(ヒスイのすがた),ヒスイビリリダマ,,,でんき,くさ,ぼうおん,せいでんき,ゆうばく,40,30,50,55,55,100,330,40 30 50 55 55 100 合計330,RGBP,カントー,1,きゅうたいポケモン,進化前,,リージョンフォーム,,,,
101,マルマイン,,,,でんき,,ぼうおん,せいでんき,ゆうばく,60,50,70,80,80,150,490,60 50 70 80 80 150 合計490,RGBP,カントー,1,ボールポケモン,最終進化,,,,Electrode,頑皮雷彈,electrode(電極、電極棒) + explode(爆発する、破裂する)
101.1,マルマイン(ヒスイのすがた),ヒスイマルマイン,,,でんき,くさ,ぼうおん,せいでんき,ゆうばく,60,50,70,80,80,150,490,60 50 70 80 80 150 合計490,LA,ヒスイ,8,きゅうたいポケモン,最終進化,,リージョンフォーム,,,,
102,タマタマ,,,,くさ,エスパー,ようりょくそ,,しゅうかく,60,40,80,60,45,40,325,60 40 80 60 45 40 合計325,RGBP,カントー,1,たまごポケモン,進化前,,,,Exeggcute,蛋蛋,egg(卵) + excute(命令する、処刑する)
103,ナッシー,,,,くさ,エスパー,ようりょくそ,,しゅうかく,95,95,85,125,75,55,530,95 95 85 125 75 55 合計530,RGBP,カントー,1,やしのみポケモン,最終進化,,,,Exeggutor,椰蛋樹,egg(卵) + executor(遂行者、実行者、遺言執行者)
103.1,ナッシー(アローラのすがた),アローラナッシー,,,くさ,ドラゴン,おみとおし,,しゅうかく,95,105,85,125,75,45,530,95 105 85 125 75 45 合計530,SM,アローラ,7,やしのみポケモン,最終進化,,リージョンフォーム,,,,
104,カラカラ,,,,じめん,,いしあたま,ひらいしん,カブトアーマー,50,50,95,40,50,35,320,50 50 95 40 50 35 合計320,RGBP,カントー,1,こどくポケモン,進化前,,,,Cubone,卡拉卡拉,cub((肉食哺乳類の)子、新米) + bone(骨)
105,ガラガラ,,,,じめん,,いしあたま,ひらいしん,カブトアーマー,60,80,110,50,80,45,425,60 80 110 50 80 45 合計425,RGBP,カントー,1,ほねずきポケモン,最終進化,,,,Marowak,嘎啦嘎啦,Marrow(骨髄) + whack(≪棒などで≫強く打つ、強打、試み、分け前)
105.1,ガラガラ(アローラのすがた),アローラガラガラ,,,ほのお,ゴースト,のろわれボディ,ひらいしん,いしあたま,60,80,110,50,80,45,425,60 80 110 50 80 45 合計425,SM,アローラ,7,ほねずきポケモン,最終進化,,リージョンフォーム,,,,
106,サワムラー,,,,かくとう,,じゅうなん,すてみ,かるわざ,50,120,53,35,110,87,455,50 120 53 35 110 87 合計455,RGBP,カントー,1,キックポケモン,最終進化,,,,Hitmonlee,飛腿郎,hit(打つ) + monster(怪物、モンスター) + Bruce Lee(ブルース・リー)
107,エビワラー,,,,かくとう,,するどいめ,てつのこぶし,せいしんりょく,50,105,79,35,110,76,455,50 105 79 35 110 76 合計455,RGBP,カントー,1,パンチポケモン,最終進化,,,,Hitmonchan,快拳郎,hit(打つ) + monster(怪物、モンスター) + Jackie Chan (ジャッキー・チェン)
108,ベロリンガ,,,,ノーマル,,マイペース,どんかん,ノーてんき,90,55,75,60,75,30,385,90 55 75 60 75 30 合計385,RGBP,カントー,1,なめまわしポケモン,進化前,,,,Lickitung,大舌頭,lick(舐める、殴る、打ち負かす) + tongue(舌)
109,ドガース,,,,どく,,ふゆう,,,40,65,95,60,45,35,340,40 65 95 60 45 35 合計340,RGBP,カントー,1,どくガスポケモン,進化前,,,,Koffing,瓦斯彈,coughing(咳)
110,マタドガス,,,,どく,,ふゆう,,,65,90,120,85,70,60,490,65 90 120 85 70 60 合計490,RGBP,カントー,1,どくガスポケモン,最終進化,,,,Weezing,雙彈瓦斯,wheezing((ぜんそくなどで)ゼーゼー息を切らす)
110.1,マタドガス(ガラルのすがた),ガラルマタドガス,,,どく,フェアリー,ふゆう,かがくへんかガス,ミストメイカー,65,90,120,85,70,60,490,65 90 120 85 70 60 合計490,SWSH,ガラル,8,どくガスポケモン,最終進化,,リージョンフォーム,,,,
111,サイホーン,,,,じめん,いわ,ひらいしん,いしあたま,すてみ,80,85,95,30,30,25,345,80 85 95 30 30 25 合計345,RGBP,カントー,1,とげとげポケモン,進化前,,,,Rhyhorn,獨角犀牛,rhino(犀、サイ) + horn(角)
112,サイドン,,,,じめん,いわ,ひらいしん,いしあたま,すてみ,105,130,120,45,45,40,485,105 130 120 45 45 40 合計485,RGBP,カントー,1,ドリルポケモン,中間進化,,,,Rhydon,鑽角犀獸,rhino(犀、サイ) + don(スペイン語の尊称)
113,ラッキー,ラキ,,,ノーマル,,しぜんかいふく,てんのめぐみ,いやしのこころ,250,5,5,35,105,50,450,250 5 5 35 105 50 合計450,RGBP,カントー,1,たまごポケモン,中間進化,,,,Chansey,吉利蛋,chance (チャンス、可能性)
114,モンジャラ,,,,くさ,,ようりょくそ,リーフガード,さいせいりょく,65,55,115,100,40,60,435,65 55 115 100 40 60 合計435,RGBP,カントー,1,ツルじょうポケモン,進化前,,,,Tangela,蔓藤怪,tangle(絡まる、巻き込む、紛糾する) + Medusa(メドゥーサ)
115,ガルーラ,,,,ノーマル,,はやおき,きもったま,せいしんりょく,105,95,80,40,80,90,490,105 95 80 40 80 90 合計490,RGBP,カントー,1,おやこポケモン,進化しない,,,,Kangaskhan,袋獸,kangaroo(カンガルー) + Genghis Khan(チンギスハン)
115.1,メガガルーラ,メガガル,,,ノーマル,,おやこあい,,,105,125,100,60,100,100,590,105 125 100 60 100 100 合計590,XY,カロス,6,おやこポケモン,進化しない,,メガシンカ,,,,
116,タッツー,,,,みず,,すいすい,スナイパー,しめりけ,30,40,70,70,25,60,295,30 40 70 70 25 60 合計295,RGBP,カントー,1,ドラゴンポケモン,進化前,,,,Horsea,墨海馬,seahorse(タツノオトシゴ) + horsey(馬の、馬のような、馬好きな)
117,シードラ,,,,みず,,どくのトゲ,スナイパー,しめりけ,55,65,95,95,45,85,440,55 65 95 95 45 85 合計440,RGBP,カントー,1,ドラゴンポケモン,中間進化,,,,Seadra,海刺龍,sea(海) + dragon(竜、ドラゴン)
118,トサキント,,,,みず,,すいすい,みずのベール,ひらいしん,45,67,60,35,50,63,320,45 67 60 35 50 63 合計320,RGBP,カントー,1,きんぎょポケモン,進化前,,,,Goldeen,角金魚,goldfish(金魚) + queen(女王)
119,アズマオウ,,,,みず,,すいすい,みずのベール,ひらいしん,80,92,65,65,80,68,450,80 92 65 65 80 68 合計450,RGBP,カントー,1,きんぎょポケモン,最終進化,,,,Seaking,金魚王,sea(海) + king(王様)
120,ヒトデマン,,,,みず,,はっこう,しぜんかいふく,アナライズ,30,45,55,70,55,85,340,30 45 55 70 55 85 合計340,RGBP,カントー,1,ほしがたポケモン,進化前,,,,Staryu,海星星,sarfish(ヒトデ) + yu(中国語で魚)
121,スターミー,,,,みず,エスパー,はっこう,しぜんかいふく,アナライズ,60,75,85,100,85,115,520,60 75 85 100 85 115 合計520,RGBP,カントー,1,なぞのポケモン,最終進化,,,,Starmie,寶石海星,starfish(ヒトデ) + mie(中国語：宝石)
121.1,メガスターミー,,,,みず,エスパー,,,,60,140,105,130,105,120,660,60 140 105 130 105 120 合計660,ZA,カロス,9,なぞのポケモン,最終進化,メガシンカ,,,,,
122,バリヤード,,,,エスパー,フェアリー,ぼうおん,フィルター,テクニシャン,40,45,65,100,120,90,460,40 45 65 100 120 90 合計460,RGBP,カントー,1,バリアーポケモン,中間進化,,,,Mr. Mime,魔牆人偶,Mr.(男性の敬称) + mime(パントマイム、ものまね、身振り)
122.1,バリヤード(ガラルのすがた),ガラルバリヤード,,,こおり,エスパー,やるき,バリアフリー,アイスボディ,50,65,65,90,90,100,460,50 65 65 90 90 100 合計460,SWSH,ガラル,8,ダンスポケモン,中間進化,,リージョンフォーム,,,,
123,ストライク,,,,むし,ひこう,むしのしらせ,テクニシャン,ふくつのこころ,70,110,80,55,80,105,500,70 110 80 55 80 105 合計500,RGBP,カントー,1,かまきりポケモン,進化前,,,,Scyther,飛天螳螂,scythe (大鎌) + er(接尾辞:～する人)
124,ルージュラ,,,,こおり,エスパー,どんかん,よちむ,かんそうはだ,65,50,35,115,95,95,455,65 50 35 115 95 95 合計455,RGBP,カントー,1,ひとがたポケモン,最終進化,,,,Jynx,迷唇姐,jinx(縁起の悪いもの、不運、不吉、ジンクス)
125,エレブー,,,,でんき,,せいでんき,,やるき,65,83,57,95,85,105,490,65 83 57 95 85 105 合計490,RGBP,カントー,1,でんげきポケモン,中間進化,,,,Electabuzz,電擊獸,electricity(電気) + buzz(ブンブンいう、がやがや言う、騒音)
126,ブーバー,,,,ほのお,,ほのおのからだ,,やるき,65,95,57,100,85,93,495,65 95 57 100 85 93 合計495,RGBP,カントー,1,ひふきポケモン,中間進化,,,,Magmar,鴨嘴火獸,magma(マグマ) + mar(ひどく傷つける、そこなう、台なしにする)
